ıd;fiyat;tip;mkare;oda;ısıtma;balkon;konum;ilce
154;3.000.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
142;2.950.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
165;2.750.000;Daire;90;2+1;Yok;Var;İzmir;Menemen
376;2.650.000;Daire;90;2+1;Yok;Var;İzmir;Menemen
314;2.600.000;Daire;90;2+1;Klima;Var;İzmir;Menemen
173;2.450.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
72;19.250.000;Villa;90;3+1;Klima;Var;İzmir;Çeşme
508;12.900.000;Villa;90;3+1;Klima;Var;İzmir;Çeşme
507;11.900.000;Villa;90;2+1;Klima;Var;İzmir;Çeşme
205;1.725.000;Daire;90;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
85;220.191.000;Villa;868;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
467;6.100.000;Daire;85;1+1;Klima;Var;İzmir;Çeşme
297;5.700.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
422;4.950.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
243;3.950.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
171;3.750.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
167;3.500.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
162;3.200.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
120;2.950.000;Daire;85;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
246;7.000.000;Daire;84;1+1;Klima;Var;İzmir;Buca
1;3.000.000;Müstakil Ev;82;2+1;Yok;Var;İzmir;Menemen
510;78.000.000;Villa;800;5+2;Klima;Var;İzmir;Çeşme
458;9.750.000;Daire;80;2+1;Klima;Var;İzmir;Çeşme
194;5.000.000;Daire;80;1+1;Doğalgaz (Kombi);Var;İzmir;Buca
42;4.150.000;Müstakil Ev;80;2+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
335;3.500.000;Daire;80;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
129;3.000.000;Daire;80;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
124;2.980.000;Daire;80;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
244;2.480.000;Daire;80;3+1;Yok;Var;İzmir;Menemen
188;2.400.000;Daire;80;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
319;2.300.000;Daire;80;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
315;2.150.000;Daire;80;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
3;32.750.000;Müstakil Ev;8.000;5+1;Şömine;Var;İzmir;Menemen
479;10.000.000;Residence;799;5+2;Klima;Fransız;İzmir;Çeşme
504;12.500.000;Daire;77;1+1;Klima;Yok;İzmir;Çeşme
463;75.000.000;Villa;765;4+1;Klima;Var;İzmir;Çeşme
160;5.000.000;Daire;75;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
118;4.900.000;Daire;75;2+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
406;4.750.000;Daire;75;2+1;Klima;Yok;İzmir;Çeşme
186;2.245.000;Daire;75;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
488;13.000.000;Residence;75;2+1;Klima;Var;İzmir;Çeşme
272;1.950.000;Daire;75;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
459;6.750.000;Daire;72;1+1;Klima;Var;İzmir;Çeşme
252;5.350.000;Daire;72;1+1;Merkezi (Pay Ölçer);Var;İzmir;Buca
469;5.000.000;Daire;72;2+1;Yok;Var;İzmir;Çeşme
402;4.950.000;Daire;72;2+1;Yok;Yok;İzmir;Çeşme
80;11.950.000;Villa;700;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
482;6.800.000;Daire;70;2+1;Klima;Var;İzmir;Çeşme
5;4.000.000;Müstakil Ev;70;2+1;Yok;Yok;İzmir;Menemen
395;4.000.000;Müstakil Ev;70;2+1;Doğalgaz (Kombi);Yok;İzmir;Çeşme
180;3.050.000;Daire;70;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
202;2.835.000;Daire;70;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
135;2.450.000;Daire;70;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
163;2.250.000;Daire;70;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
283;2.200.000;Daire;70;2+1;Klima;Var;İzmir;Menemen
340;2.100.000;Daire;70;2+1;Klima;Var;İzmir;Menemen
341;7.750.000;Daire;66;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
415;85.000.000;Villa;650;5+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
48;1.950.000;Müstakil Ev;65;1+1;Yok;Var;İzmir;Buca
325;1.700.000;Daire;62;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
416;73.000.000;Villa;600;6+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
511;62.000.000;Villa;600;5+2;Klima;Var;İzmir;Çeşme
461;38.000.000;Villa;600;4+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
514;177.500.000;Villa;600;10 Üzeri;Yok;Var;İzmir;Çeşme
97;14.900.000;Villa;600;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
480;11.750.000;Daire;60;2+1;Klima;Var;İzmir;Çeşme
114;1.990.000;Daire;60;1+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
496;63.000.000;Villa;6.246;5+1;Klima;Var;İzmir;Çeşme
55;6.450.000;Müstakil Ev;594;2+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
96;12.650.000;Villa;589;4+1;Şömine;Var;İzmir;Çeşme
74;48.000.000;Villa;585;6+1;Klima;Var;İzmir;Menemen
227;2.400.000;Daire;55;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
294;2.250.000;Daire;55;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
279;2.100.000;Daire;55;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
199;1.850.000;Daire;55;1+1;Klima;Var;İzmir;Menemen
374;1.840.000;Daire;55;1+1;Klima;Var;İzmir;Menemen
282;1.790.000;Daire;55;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
249;1.550.000;Daire;55;1+1;Klima;Var;İzmir;Menemen
439;15.750.000;Villa;543;5+1;Klima;Var;İzmir;Çeşme
76;29.000.000;Villa;540;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
478;47.500.000;Villa;539;4+1;Şömine;Var;İzmir;Çeşme
179;4.600.000;Daire;53;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
138;2.600.000;Daire;53;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
69;46.500.000;Villa;521;6+1;Klima;Var;İzmir;Menemen
448;65.000.000;Villa;520;7+2;Klima;Var;İzmir;Çeşme
425;3.275.000;Daire;52;1+1;Yok;Var;İzmir;Çeşme
280;2.200.000;Daire;52;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
499;78.000.000;Villa;500;5+2;Klima;Var;İzmir;Çeşme
486;17.000.000;Villa;500;4+2;Klima;Var;İzmir;Çeşme
98;15.500.000;Villa;500;5+1;Klima;Var;İzmir;Çeşme
497;6.300.000;Residence;50;1+1;Klima;Var;İzmir;Çeşme
442;41.000.000;Villa;495;7+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
136;2.400.000;Daire;49;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
15;7.500.000;Müstakil Ev;488;4+1;Klima;Var;İzmir;Buca
509;85.000.000;Villa;480;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
21;1.300.000;Müstakil Ev;460;2+1;Yok;Var;İzmir;Buca
453;32.000.000;Villa;450;6+1;Doğalgaz (Kombi);Yok;İzmir;Çeşme
95;27.500.000;Villa;450;5+1;Klima;Var;İzmir;Menemen
6;13.000.000;Müstakil Ev;450;3+1;Yok;Var;İzmir;Menemen
278;1.950.000;Daire;45;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
286;1.950.000;Daire;45;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
43;5.500.000;Müstakil Ev;447;2+1;Klima;Var;İzmir;Buca
513;57.000.000;Villa;435;5+1;Klima;Var;İzmir;Çeşme
426;14.000.000;Daire;435;4+1;Soba;Var;İzmir;Çeşme
83;29.950.000;Villa;430;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
505;9.500.000;Daire;42;1+1;Klima;Yok;İzmir;Çeşme
342;5.500.000;Daire;42;1+1;Merkezi;Var;İzmir;Buca
18;48.890.000;Müstakil Ev;418;6+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
466;48.890.000;Müstakil Ev;418;6+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
417;85.000.000;Villa;400;6+2;Doğalgaz (Kombi);Yok;İzmir;Çeşme
471;34.000.000;Villa;400;4+1;Klima;Var;İzmir;Çeşme
93;20.000.000;Villa;400;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
73;11.000.000;Villa;400;4+1;Klima;Var;İzmir;Menemen
159;13.600.000;Daire;390;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
140;11.500.000;Daire;390;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
103;25.000.000;Villa;380;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
301;10.000.000;Daire;380;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
330;6.750.000;Daire;374;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
53;5.200.000;Müstakil Ev;358;3+1;Klima;Var;İzmir;Buca
35;4.495.000;Müstakil Ev;350;3+1;Yok;Var;İzmir;Buca
413;21.500.000;Villa;350;5+1;Klima;Var;İzmir;Çeşme
82;14.250.000;Villa;350;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
432;12.500.000;Villa;350;6+3;Klima;Var;İzmir;Çeşme
61;9.750.000;Villa;345;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
77;15.000.000;Villa;340;4+1;Klima;Var;İzmir;Menemen
470;29.500.000;Villa;338;4+1;Yok;Var;İzmir;Çeşme
37;4.350.000;Müstakil Ev;330;5+1;Soba;Var;İzmir;Buca
451;36.000.000;Villa;330;5+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
404;21.900.000;Villa;330;4+1;Klima;Var;İzmir;Çeşme
238;20.000.000;Daire;330;3+1;Yerden Isıtma;Var;İzmir;Menemen
58;11.950.000;Müstakil Ev;325;5+1;Şömine;Var;İzmir;Çeşme
449;11.950.000;Müstakil Ev;325;5+2;Şömine;Var;İzmir;Çeşme
34;19.900.000;Müstakil Ev;322;5+1;Klima;Var;İzmir;Çeşme
19;7.500.000;Müstakil Ev;321;2+1;Klima;Var;İzmir;Buca
475;39.750.000;Villa;320;7+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
46;25.000.000;Müstakil Ev;319;3+1;Yok;Var;İzmir;Çeşme
440;13.750.000;Villa;318;5+1;Yok;Var;İzmir;Çeşme
104;45.000.000;Villa;311;6+1;Klima;Var;İzmir;Çeşme
428;14.750.000;Villa;309;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
491;18.000.000;Yazlık;300;3+2;Doğalgaz (Kombi);Var;İzmir;Çeşme
71;17.000.000;Villa;300;3+1;Klima;Var;İzmir;Çeşme
494;16.000.000;Villa;300;3+1;Klima;Var;İzmir;Çeşme
78;11.500.000;Villa;300;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
225;6.900.000;Daire;281;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
52;9.500.000;Müstakil Ev;280;3+1;Yok;Yok;İzmir;Çeşme
447;27.000.000;Villa;280;4+1;Klima;Fransız;İzmir;Çeşme
36;16.750.000;Müstakil Ev;280;2+1;Klima;Var;İzmir;Buca
12;11.250.000;Müstakil Ev;279;3+1;Klima;Yok;İzmir;Çeşme
209;10.200.000;Daire;276;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
263;19.900.000;Daire;272;5+1;Klima;Var;İzmir;Menemen
14;9.745.000;Müstakil Ev;270;4+1;Klima;Var;İzmir;Menemen
472;8.500.000;Villa;268;3+1;Klima;Var;İzmir;Çeşme
273;6.000.000;Daire;261;4+1;Doğalgaz Sobası;Var;İzmir;Buca
410;12.750.000;Villa;261;3+1;Klima;Var;İzmir;Çeşme
86;21.000.000;Villa;260;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
121;16.900.000;Daire;258;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
493;9.850.000;Villa;250;3+1;Klima;Var;İzmir;Çeşme
429;9.250.000;Villa;250;4+1;Klima;Var;İzmir;Çeşme
45;6.950.000;Müstakil Ev;250;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
501;22.000.000;Villa;250;4+1;Doğalgaz (Kombi);Yok;İzmir;Çeşme
414;19.500.000;Villa;250;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
474;18.750.000;Villa;250;4+1;Klima;Var;İzmir;Çeşme
197;17.750.000;Daire;250;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
70;17.500.000;Villa;250;4+1;Klima;Var;İzmir;Çeşme
92;15.000.000;Villa;250;4+1;Doğalgaz (Kombi);Yok;İzmir;Çeşme
457;14.900.000;Villa;250;3+1;Yok;Var;İzmir;Çeşme
150;1.300.000;Daire;25;1+1;Doğalgaz (Kombi);Var;İzmir;Menemen
39;5.900.000;Müstakil Ev;248;2+1;Yok;Var;İzmir;Buca
23;13.500.000;Müstakil Ev;245;5+1;Merkezi (Pay Ölçer);Var;İzmir;Çeşme
67;8.950.000;Villa;240;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
33;8.900.000;Müstakil Ev;240;4+1;Yok;Var;İzmir;Buca
240;8.850.000;Daire;240;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
237;7.500.000;Daire;240;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
407;21.000.000;Villa;240;4+2;Klima;Var;İzmir;Çeşme
27;27.000.000;Müstakil Ev;236;5+1;Şömine;Var;İzmir;Çeşme
29;2.100.000;Müstakil Ev;235;1+1;Yok;Var;İzmir;Buca
262;6.950.000;Daire;230;4+1;Yerden Isıtma;Var;İzmir;Buca
256;22.850.000;Daire;230;5+1;Merkezi (Pay Ölçer);Var;İzmir;Menemen
220;11.790.000;Daire;230;4+1;Yerden Isıtma;Var;İzmir;Menemen
40;3.250.000;Müstakil Ev;229;5+1;Yok;Var;İzmir;Buca
64;7.290.000;Villa;228;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
25;30.000.000;Müstakil Ev;226;3+1;Klima;Var;İzmir;Çeşme
54;65.000.000;Müstakil Ev;220;7+1;Şömine;Var;İzmir;Çeşme
438;65.000.000;Müstakil Ev;220;4+1;Şömine;Var;İzmir;Çeşme
60;6.000.000;Müstakil Ev;220;4+1;Klima;Var;İzmir;Buca
405;19.500.000;Villa;220;6+1;Doğalgaz (Kombi);Fransız;İzmir;Çeşme
431;19.500.000;Villa;220;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
236;17.950.000;Daire;220;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
441;16.400.000;Villa;220;3+1;Klima;Yok;İzmir;Çeşme
399;14.950.000;Villa;220;5+1;Klima;Var;İzmir;Çeşme
90;12.500.000;Villa;220;3+1;Klima;Var;İzmir;Çeşme
354;11.000.000;Daire;220;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
94;11.450.000;Villa;217;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
31;13.000.000;Müstakil Ev;215;2+1;Klima;Yok;İzmir;Menemen
500;7.500.000;Villa;213;3+1;Klima;Var;İzmir;Çeşme
412;9.950.000;Villa;210;3+1;Klima;Var;İzmir;Çeşme
349;7.600.000;Daire;210;4+1;Klima;Var;İzmir;Buca
450;13.500.000;Villa;210;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
87;11.750.000;Villa;210;4+1;Şömine;Var;İzmir;Çeşme
102;8.100.000;Villa;200;4+1;Doğalgaz (Kombi);Yok;İzmir;Buca
57;6.100.000;Müstakil Ev;200;4+1;Klima;Var;İzmir;Çeşme
16;6.000.000;Müstakil Ev;200;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
409;34.250.000;Villa;200;2+1;Klima;Var;İzmir;Çeşme
434;33.000.000;Villa;200;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
44;26.000.000;Müstakil Ev;200;3+1;Klima;Var;İzmir;Çeşme
68;17.000.000;Villa;200;2+1;Doğalgaz (Kombi);Var;İzmir;Menemen
75;14.000.000;Villa;200;5+1;Doğalgaz (Kombi);Var;İzmir;Menemen
424;14.000.000;Taş Ev;200;4+1;Yok;Var;İzmir;Çeşme
389;13.000.000;Villa;200;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
26;25.000.000;Müstakil Ev;198;2+1;Yok;Yok;İzmir;Çeşme
89;16.000.000;Villa;196;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
47;7.850.000;Müstakil Ev;193;4+1;Klima;Var;İzmir;Çeşme
65;9.900.000;Villa;190;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
477;18.250.000;Villa;190;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
456;17.950.000;Villa;190;5+1;Şömine;Var;İzmir;Çeşme
208;13.750.000;Daire;190;3+1;Klima;Var;İzmir;Menemen
468;63.500.000;Taş Ev;188;4+1;Şömine;Var;İzmir;Çeşme
274;4.400.000;Daire;185;3+1;Doğalgaz (Kombi);Yok;İzmir;Menemen
109;38.000.000;Villa;185;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
24;15.500.000;Müstakil Ev;185;4+1;Klima;Var;İzmir;Çeşme
108;9.950.000;Villa;180;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
112;9.000.000;Daire;180;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
313;7.200.000;Daire;180;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
353;7.200.000;Daire;180;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
489;27.500.000;Daire;180;2+1;Klima;Var;İzmir;Çeşme
515;27.000.000;Villa;180;3+1;Klima;Var;İzmir;Çeşme
411;26.000.000;Villa;180;4+1;Klima;Var;İzmir;Çeşme
393;18.200.000;Villa;180;4+1;Klima;Var;İzmir;Çeşme
289;17.000.000;Daire;180;4+1;Merkezi;Var;İzmir;Menemen
30;15.900.000;Müstakil Ev;180;4+1;Klima;Yok;İzmir;Çeşme
394;15.900.000;Villa;180;4+1;Klima;Var;İzmir;Çeşme
8;14.900.000;Müstakil Ev;180;3+1;Yerden Isıtma;Var;İzmir;Çeşme
427;13.750.000;Villa;180;4+1;Klima;Yok;İzmir;Çeşme
420;13.000.000;Daire;180;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
20;12.500.000;Müstakil Ev;180;4+1;Soba;Var;İzmir;Çeşme
284;11.900.000;Daire;180;3+1;Merkezi (Pay Ölçer);Var;İzmir;Menemen
373;11.250.000;Daire;180;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
99;18.500.000;Villa;176;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
206;4.500.000;Daire;175;4+1;Doğalgaz (Kombi);Var;İzmir;Menemen
195;4.350.000;Daire;175;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
345;3.850.000;Daire;175;3+1;Kat Kaloriferi;Var;İzmir;Menemen
400;12.500.000;Villa;175;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
316;10.000.000;Daire;174;4+1;Merkezi (Pay Ölçer);Var;İzmir;Çeşme
485;25.000.000;Daire;173;2+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
379;8.900.000;Daire;170;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
267;8.400.000;Daire;170;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
391;7.750.000;Daire;170;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
490;30.000.000;Daire;170;2+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
123;3.250.000;Daire;170;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
445;19.500.000;Villa;170;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
88;17.500.000;Villa;170;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
38;16.250.000;Müstakil Ev;170;3+1;Klima;Var;İzmir;Çeşme
418;16.250.000;Müstakil Ev;170;3+1;Klima;Var;İzmir;Çeşme
433;14.000.000;Villa;170;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
111;8.800.000;Daire;167;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
483;9.500.000;Villa;165;3+1;Yok;Var;İzmir;Çeşme
308;6.500.000;Daire;165;4+1;Doğalgaz (Kombi);Var;İzmir;Buca
317;4.500.000;Daire;165;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
307;14.500.000;Daire;165;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
304;6.980.000;Daire;160;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
239;6.450.000;Daire;160;3+1;Klima;Var;İzmir;Buca
56;5.499.000;Müstakil Ev;160;2+1;Yok;Var;İzmir;Buca
397;28.750.000;Villa;160;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
375;2.975.000;Daire;160;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
436;18.450.000;Villa;160;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
452;17.750.000;Villa;160;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
437;16.750.000;Villa;160;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
62;16.000.000;Villa;160;4+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
443;14.500.000;Villa;160;4+1;Klima;Var;İzmir;Çeşme
105;11.750.000;Villa;160;5+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
100;11.500.000;Villa;160;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
287;9.150.000;Daire;159;3+1;Klima;Var;İzmir;Buca
22;22.000.000;Müstakil Ev;158;3+1;Klima;Var;İzmir;Çeşme
189;5.200.000;Daire;157;3+1;Klima;Var;İzmir;Menemen
151;14.480.000;Daire;156;3+1;Klima;Var;İzmir;Menemen
310;6.950.000;Daire;155;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
372;6.250.000;Daire;155;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
351;5.700.000;Daire;155;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
228;2.500.000;Daire;155;3+1;Yok;Var;İzmir;Menemen
260;2.390.000;Daire;155;3+1;Yok;Var;İzmir;Menemen
270;14.250.000;Daire;155;3+1;Klima;Var;İzmir;Menemen
392;13.950.000;Villa;155;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
79;12.750.000;Villa;155;3+1;Klima;Var;İzmir;Çeşme
454;8.950.000;Villa;152;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
204;6.950.000;Daire;152;3+1;Yok;Var;İzmir;Buca
234;4.000.000;Daire;152;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
359;8.500.000;Daire;150;2+1;Doğalgaz (Kombi);Var;İzmir;Buca
381;8.500.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
17;6.600.000;Müstakil Ev;150;4+1;Klima;Var;İzmir;Çeşme
2;6.500.000;Müstakil Ev;150;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
387;5.950.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
4;5.500.000;Müstakil Ev;150;3+1;Klima;Var;İzmir;Menemen
253;5.250.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Buca
350;4.650.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
101;30.000.000;Villa;150;3+1;Klima;Yok;İzmir;Çeşme
320;3.850.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
311;3.600.000;Daire;150;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
403;21.000.000;Villa;150;4+1;Klima;Var;İzmir;Çeşme
464;18.450.000;Villa;150;3+1;Klima;Var;İzmir;Çeşme
401;13.600.000;Villa;150;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
444;13.500.000;Villa;150;3+2;Klima;Yok;İzmir;Çeşme
484;11.750.000;Villa;150;3+1;Klima;Var;İzmir;Çeşme
59;1.850.000;Müstakil Ev;150;3+1;yok;Yok;İzmir;Buca
385;6.200.000;Daire;149;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
184;4.200.000;Daire;146;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
66;6.500.000;Villa;145;3+1;Doğalgaz (Kombi);Var;İzmir;Çeşme
363;4.500.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
147;4.250.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
166;3.850.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
207;3.590.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
378;3.250.000;Daire;145;3+1;Doğalgaz (Kombi);Var;İzmir;Menemen
